time,edge,vehicles,speed,waiting,halting,ns_green,ew_green,tls_mode
42,N2C,7,7.7068,8.0,2,30,30,adaptive
42,S2C,8,6.8981,19.0,3,30,30,adaptive
42,E2C,5,13.1607,0.0,0,30,30,adaptive
42,W2C,5,12.7075,0.0,0,30,30,adaptive
43,N2C,7,7.4974,10.0,2,30,30,adaptive
43,S2C,8,6.2772,22.0,3,30,30,adaptive
43,E2C,4,12.9144,0.0,0,30,30,adaptive
43,W2C,5,12.5832,0.0,0,30,30,adaptive
44,N2C,7,7.2822,12.0,2,30,30,adaptive
44,S2C,8,6.2924,25.0,3,30,30,adaptive
44,E2C,4,12.58,0.0,0,30,30,adaptive
44,W2C,5,12.4312,0.0,0,30,30,adaptive
45,N2C,7,7.2079,14.0,2,30,30,adaptive
45,S2C,8,6.2408,28.0,3,30,30,adaptive
45,E2C,4,13.2209,0.0,0,30,30,adaptive
45,W2C,4,12.5561,0.0,0,30,30,adaptive
46,N2C,8,8.0674,17.0,3,30,30,adaptive
46,S2C,9,6.9731,32.0,4,30,30,adaptive
46,E2C,5,12.9949,0.0,0,30,30,adaptive
46,W2C,5,12.8753,0.0,0,30,30,adaptive
47,N2C,8,7.8455,20.0,3,30,30,adaptive
47,S2C,9,6.4633,36.0,4,30,30,adaptive
47,E2C,5,12.9202,0.0,0,30,30,adaptive
47,W2C,4,12.9011,0.0,0,30,30,adaptive
48,N2C,8,8.0549,23.0,3,30,30,adaptive
48,S2C,9,6.1164,40.0,4,30,30,adaptive
48,E2C,4,13.0115,0.0,0,30,30,adaptive
48,W2C,4,13.2918,0.0,0,30,30,adaptive
49,N2C,8,6.975,26.0,3,30,30,adaptive
49,S2C,9,5.6124,45.0,5,30,30,adaptive
49,E2C,4,13.383,0.0,0,30,30,adaptive
49,W2C,4,12.7508,0.0,0,30,30,adaptive
50,N2C,8,5.9484,29.0,3,30,30,adaptive
50,S2C,9,5.5601,50.0,5,30,30,adaptive
50,E2C,4,13.4367,0.0,0,30,30,adaptive
50,W2C,4,12.9276,0.0,0,30,30,adaptive
51,N2C,9,6.1198,32.0,3,30,30,adaptive
51,S2C,10,5.9612,55.0,5,30,30,adaptive
51,E2C,4,13.4775,0.0,0,30,30,adaptive
51,W2C,4,12.6914,0.0,0,30,30,adaptive
52,N2C,9,5.8653,35.0,3,30,30,adaptive
52,S2C,10,5.6672,60.0,5,30,30,adaptive
52,E2C,4,13.1434,0.0,0,30,30,adaptive
52,W2C,4,12.9606,0.0,0,30,30,adaptive
53,N2C,9,5.5932,39.0,4,30,30,adaptive
53,S2C,10,4.8338,65.0,5,30,30,adaptive
53,E2C,4,13.1385,0.0,0,30,30,adaptive
53,W2C,4,12.4395,0.0,0,30,30,adaptive
54,N2C,9,5.2339,44.0,5,30,30,adaptive
54,S2C,10,4.5498,71.0,6,30,30,adaptive
54,E2C,4,13.2318,0.0,0,30,30,adaptive
