time,edge,vehicles,speed,waiting,halting,traveltime,congestion
57,S2C,15,4.5394,108.0,8,52.78,0.3446
57,E2C,7,12.7312,0.0,0,18.82,0.0587
57,W2C,6,12.8151,0.0,0,18.7,0.0515
58,N2C,16,4.7972,117.0,9,49.95,0.3589
58,S2C,16,4.6553,116.0,8,51.47,0.3543
58,E2C,7,12.8062,0.0,0,18.71,0.0576
58,W2C,6,13.1973,0.0,0,18.16,0.046
59,N2C,16,4.7934,127.0,10,49.99,0.3716
59,S2C,16,4.3046,126.0,10,55.66,0.378
59,E2C,6,13.0135,0.0,0,18.41,0.0486
59,W2C,6,13.0251,0.0,0,18.4,0.0485
60,N2C,16,4.4454,137.0,10,53.9,0.3833
60,S2C,16,4.051,136.0,10,59.15,0.3883
60,E2C,6,12.8293,0.0,0,18.68,0.0513
60,W2C,6,12.6584,0.0,0,18.93,0.0537
61,N2C,17,4.5481,147.0,10,52.68,0.3945
61,S2C,17,4.3093,146.0,10,55.6,0.3973
61,E2C,6,13.177,0.0,0,18.18,0.0463
61,W2C,7,12.731,0.0,0,18.82,0.0587
62,N2C,17,4.1122,157.0,10,58.27,0.4075
62,S2C,17,3.9385,157.0,11,60.84,0.416
62,E2C,6,12.7371,0.0,0,18.81,0.0526
62,W2C,6,12.9157,0.0,0,18.55,0.05
63,N2C,17,3.8296,168.0,11,62.56,0.4249
63,S2C,17,3.7987,169.0,12,63.07,0.432
63,E2C,6,12.7433,0.0,0,18.8,0.0525
63,W2C,6,12.7917,0.0,0,18.73,0.0518
64,N2C,18,4.1703,179.0,11,57.45,0.4333
64,S2C,18,4.2656,181.0,12,56.17,0.4392
64,E2C,6,12.9403,0.0,0,18.52,0.0497
64,W2C,6,12.9543,0.0,0,18.5,0.0495
65,N2C,18,3.966,191.0,12,60.41,0.4502
65,S2C,18,4.2331,193.0,12,56.6,0.4477
65,E2C,6,13.1497,0.0,0,18.22,0.0467
65,W2C,6,12.8812,0.0,0,18.6,0.0505
66,N2C,18,3.6439,203.0,12,65.75,0.4629
66,S2C,18,3.8349,205.0,12,62.48,0.4614
66,E2C,6,12.9096,0.0,0,18.56,0.0501
66,W2C,6,12.869,0.0,0,18.62,0.0507
67,N2C,17,4.231,152.0,10,56.63,0.4024
67,S2C,17,4.3053,154.0,10,55.65,0.4027
67,E2C,7,12.938,0.0,0,18.52,0.0557
67,W2C,7,12.7348,0.0,0,18.81,0.0586
68,N2C,17,4.2771,111.0,9,56.02,0.3684
68,S2C,17,4.0615,112.0,8,58.99,0.3662
68,E2C,7,12.667,0.0,0,18.92,0.0596
68,W2C,7,12.092,0.0,0,19.81,0.0679
69,N2C,17,4.4016,74.0,8,54.43,0.336
69,S2C,17,4.1096,72.0,6,58.3,0.3268
69,E2C,7,11.9284,0.0,0,20.09,0.0702
69,W2C,7,11.8008,0.0,0,20.3,0.0721
70,N2C,16,5.0691,44.0,6,47.27,0.2883
70,S2C,17,4.7233,42.0,5,50.73,0.292
70,E2C,8,11.321,0.0,0,21.16,0.085
70,W2C,8,11.3545,0.0,0,21.1,0.0845
71,N2C,16,5.4007,23.0,4,44.36,0.2576
71,S2C,16,4.9774,22.0,4,48.14,0.263
71,E2C,8,10.2509,0.0,0,23.37,0.1004
71,W2C,8,10.2814,1.0,1,23.3,0.1066
72,N2C,14,5.4871,9.0,2,43.67,0.223
72,S2C,15,5.2577,5.0,2,45.57,0.2296
72,E2C,8,9.8388,1.0,1,24.35,0.113
72,W2C,8,9.6289,2.0,1,24.88,0.1167
73,N2C,15,6.1853,0.0,0,38.74,0.2009
73,S2C,15,6.1349,0.0,0,39.06,0.2017
73,E2C,9,9.809,2.0,1,24.43,0.1201
73,W2C,9,9.3032,4.0,2,25.75,0.1347
74,N2C,15,6.414,0.0,0,37.36,0.1976
74,S2C,14,6.4304,0.0,0,37.26,0.1914
74,E2C,9,9.2209,4.0,2,25.98,0.1359
74,W2C,9,8.5775,6.0,2,27.93,0.1465
75,N2C,13,6.9344,0.0,0,34.55,0.1782
75,S2C,13,6.7908,0.0,0,35.28,0.1802
75,E2C,9,8.2789,6.0,2,28.94,0.1508
75,W2C,9,7.9734,8.0,2,30.05,0.1565
76,N2C,14,7.8264,0.0,0,30.61,0.1713
76,S2C,14,7.9337,0.0,0,30.2,0.1698
76,E2C,10,8.3909,9.0,3,28.55,0.1632
76,W2C,10,8.1798,11.0,3,29.29,0.1676
77,N2C,12,8.4734,0.0,0,28.28,0.15
77,S2C,12,8.2667,0.0,0,28.98,0.153
77,E2C,10,7.6872,12.0,3,31.17,0.1753
77,W2C,10,7.8786,14.0,3,30.41,0.1739
78,N2C,12,9.196,0.0,0,26.05,0.1396
78,S2C,11,9.1679,0.0,0,26.13,0.134
78,E2C,10,7.288,15.0,3,32.88,0.1831
78,W2C,10,7.2927,17.0,3,32.85,0.1843
79,N2C,11,9.8771,0.0,0,24.26,0.1238
79,S2C,11,9.8772,0.0,0,24.26,0.1238
79,E2C,11,7.5614,19.0,4,31.69,0.1938
79,W2C,11,7.5382,20.0,3,31.78,0.1888
80,N2C,10,10.5254,0.0,0,22.76,0.1084
80,S2C,10,10.437,0.0,0,22.96,0.1097
80,E2C,11,7.0244,23.0,4,34.11,0.2042
80,W2C,11,7.1036,24.0,4,33.73,0.2037
81,N2C,9,10.81,0.0,0,22.16,0.0983
81,S2C,9,11.5109,0.0,0,20.82,0.0883
81,E2C,11,6.6011,28.0,5,36.3,0.2196
81,W2C,11,6.3955,28.0,4,37.46,0.2166
82,N2C,8,12.293,0.0,0,19.49,0.071
82,S2C,9,12.1125,0.0,0,19.78,0.0796
82,E2C,12,6.7853,33.0,5,35.31,0.2263
82,W2C,12,6.6511,32.0,4,36.02,0.2216
83,N2C,8,12.2453,0.0,0,19.57,0.0717
83,S2C,8,12.3797,0.0,0,19.35,0.0697
83,E2C,12,6.1084,39.0,6,39.22,0.246
83,W2C,12,6.2513,38.0,6,38.33,0.2433
84,N2C,6,12.4738,0.0,0,19.21,0.0564
84,S2C,7,12.4635,0.0,0,19.22,0.0625
84,E2C,12,5.8936,45.0,6,40.65,0.2531
84,W2C,12,6.2876,44.0,6,38.11,0.2468
85,N2C,7,12.9158,0.0,0,18.55,0.056
85,S2C,7,13.0923,0.0,0,18.3,0.0535
85,E2C,13,6.3019,51.0,6,38.02,0.2573
85,W2C,13,6.4679,50.0,6,37.04,0.2542
86,N2C,6,12.3411,0.0,0,19.41,0.0583
86,S2C,6,12.8871,0.0,0,18.59,0.0504
86,E2C,13,5.6948,58.0,7,42.07,0.2767
86,W2C,13,5.7829,56.0,6,41.43,0.2681
87,N2C,6,12.4436,0.0,0,19.25,0.0568
87,S2C,6,12.4682,0.0,0,19.22,0.0565
87,E2C,13,5.2481,65.0,7,45.65,0.2878
87,W2C,13,5.2323,62.0,6,45.79,0.28
88,N2C,7,12.7784,0.0,0,18.75,0.058
88,S2C,7,12.8353,0.0,0,18.67,0.0572
88,E2C,14,5.6001,72.0,7,42.78,0.2934
88,W2C,14,5.4162,69.0,7,44.24,0.294
89,N2C,7,12.7342,0.0,0,18.82,0.0586
89,S2C,7,13.004,0.0,0,18.43,0.0548
89,E2C,14,5.0361,80.0,8,47.58,0.3128
89,W2C,14,4.9207,77.0,8,48.69,0.3125
90,N2C,7,12.99,0.0,0,18.44,0.055
90,S2C,6,12.5899,0.0,0,19.03,0.0547
90,E2C,14,4.6834,88.0,8,51.16,0.3232
90,W2C,14,4.7579,85.0,8,50.36,0.3202
91,N2C,7,12.7788,0.0,0,18.75,0.058
91,S2C,7,13.0133,0.0,0,18.41,0.0546
91,E2C,15,5.19,96.0,8,46.17,0.3273
91,W2C,15,5.1265,93.0,8,46.74,0.3262
92,N2C,6,12.9969,0.0,0,18.44,0.0489
92,S2C,7,12.6972,0.0,0,18.87,0.0592
92,E2C,15,4.8512,105.0,9,49.39,0.3441
92,W2C,15,4.9239,102.0,9,48.66,0.3411
93,N2C,6,12.946,0.0,0,18.51,0.0496
93,S2C,6,13.1326,0.0,0,18.24,0.0469
93,E2C,15,4.6383,114.0,9,51.66,0.3532
93,W2C,15,4.6641,111.0,9,51.37,0.3508
94,N2C,6,13.055,0.0,0,18.35,0.048
94,S2C,7,12.9592,0.0,0,18.49,0.0554
94,E2C,16,4.6858,123.0,9,51.13,0.3645
94,W2C,16,4.5289,120.0,9,52.91,0.3648
95,N2C,6,12.7493,0.0,0,18.79,0.0524
95,S2C,6,12.8147,0.0,0,18.7,0.0515
95,E2C,16,4.358,132.0,9,54.98,0.3752
95,W2C,16,4.1504,129.0,9,57.73,0.3762
96,N2C,6,12.9434,0.0,0,18.51,0.0496
96,S2C,6,13.1323,0.0,0,18.25,0.0469
96,E2C,16,4.1464,142.0,10,57.79,0.391
96,W2C,16,3.9395,139.0,10,60.82,0.3919
97,N2C,7,13.1353,0.0,0,18.24,0.0529
97,S2C,6,13.4143,0.0,0,17.86,0.0428
97,E2C,17,4.6564,152.0,10,51.46,0.3963
97,W2C,17,4.4095,149.0,10,54.34,0.3978
98,N2C,7,13.0787,0.0,0,18.32,0.0537
98,S2C,6,13.4139,0.0,0,17.86,0.0429
98,E2C,17,4.2481,163.0,11,56.4,0.4155
98,W2C,17,4.373,160.0,11,54.79,0.4117
99,N2C,7,11.9573,0.0,0,20.04,0.0698
99,S2C,6,13.2052,0.0,0,18.14,0.0459
99,E2C,17,4.1053,174.0,11,58.36,0.4249
99,W2C,17,4.2403,171.0,11,56.51,0.4209
100,N2C,8,11.14,0.0,0,21.51,0.0876
100,S2C,7,12.8246,0.0,0,18.68,0.0573
100,E2C,16,4.7544,129.0,9,50.4,0.3675
100,W2C,16,5.1416,124.0,9,46.6,0.3586
101,N2C,8,10.0721,1.0,1,23.79,0.1096
101,S2C,7,11.8407,0.0,0,20.24,0.0715
101,E2C,16,4.5166,89.0,7,53.05,0.3323
101,W2C,16,4.7518,85.0,7,50.42,0.3262
102,N2C,8,9.1386,2.0,1,26.22,0.1237
102,S2C,7,11.4578,0.0,0,20.91,0.077
102,E2C,16,4.5492,55.0,6,52.67,0.3032
102,W2C,16,4.4252,52.0,5,54.14,0.2969
103,N2C,9,9.1441,3.0,1,26.2,0.1303
103,S2C,8,10.8837,0.0,0,22.01,0.0913
103,E2C,16,5.3246,28.0,4,45.0,0.262
103,W2C,15,5.1575,27.0,4,46.46,0.2577
104,N2C,9,8.7842,5.0,2,27.28,0.1429
104,S2C,8,10.2488,0.0,0,23.38,0.1004
104,E2C,15,5.4704,11.0,3,43.8,0.2366
104,W2C,15,5.1981,10.0,3,46.09,0.2398
105,N2C,9,8.2369,7.0,2,29.09,0.1521
105,S2C,8,9.417,1.0,1,25.44,0.1191
105,E2C,15,5.5361,3.0,2,43.28,0.2243
105,W2C,14,5.4147,2.0,1,44.25,0.2134
106,N2C,10,8.2764,10.0,3,28.95,0.1655
106,S2C,9,9.5395,3.0,2,25.12,0.1306
106,E2C,14,6.5576,0.0,0,36.54,0.1896
106,W2C,14,6.3624,0.0,0,37.66,0.1924
107,N2C,10,7.7536,13.0,3,30.9,0.175
107,S2C,9,8.9386,5.0,2,26.81,0.1406
107,E2C,14,7.0116,0.0,0,34.17,0.183
107,W2C,14,6.8806,0.0,0,34.82,0.1849
108,N2C,10,7.7192,16.0,3,31.04,0.1775
108,S2C,9,8.4508,7.0,2,28.35,0.149
108,E2C,12,7.443,0.0,0,32.19,0.1648
108,W2C,12,7.7391,0.0,0,30.96,0.1606
109,N2C,11,7.6371,20.0,4,31.37,0.1934
109,S2C,10,8.6444,9.0,2,27.72,0.1535
109,E2C,13,8.4055,0.0,0,28.51,0.157
109,W2C,12,9.1128,0.0,0,26.29,0.1408
110,N2C,11,6.8435,24.0,4,35.01,0.2075
